date,a,b,r2,rmse,n_points
20050101,-0.2797586,348.6206,0.9902582764625549,0.2809863311584089,3
20050102,-0.15051416,316.54636,0.6495289206504822,0.6672164294293758,3
20050103,-0.8177913,487.4488,1.0,0.0,2
20050104,-3.6596506,1235.1659,1.0,7.780486318348365e-05,2
20050105,-0.1873356,325.59772,1.0,3.0517578125e-05,2
20050106,-0.3575699,368.8643,1.0,0.0,2
20050107,0.0013795729,277.50522,1.1563301086425781e-05,4.005795333700059,3
20050108,0.1612211,234.84071,1.0,0.0,2
20050109,-0.36724585,372.10324,0.9983533024787903,0.10861132311483553,3
20050110,-0.18976201,326.2869,1.0,0.0,2
20050113,-0.31254968,357.32202,0.9524944424629211,0.6819428700167559,3
20050114,-0.41252497,381.7961,0.9498980045318604,0.6938423945786487,4
20050116,-0.46139163,392.56393,0.8692026138305664,1.5415497641015083,3
20050117,17.493515,-4301.336,1.0,0.000152587890625,2
20050118,-0.11142688,303.77634,0.1015128493309021,3.4677031715899336,4
20050119,-0.94927067,520.82605,1.0,2.1579186437577746e-05,2
20050120,0.020432392,269.0283,1.0,0.0,2
20050122,-0.40939075,379.86502,1.0,3.0517578125e-05,2
20050124,-0.10995672,303.25214,0.1038895845413208,1.9315752687573742,3
20050125,0.020032536,269.1554,1.0,3.0517578125e-05,2
20050126,-0.018797,280.18362,0.0054045915603637695,1.9103711715267502,3
20050127,-0.23118484,332.99603,0.8818774223327637,0.8685014753466402,3
20050128,15.399504,-3713.0173,1.0,0.0001556097263669673,2
20050129,-0.3191206,355.57013,0.9275332689285278,0.8426684405893152,3
20050130,-0.094096236,296.54626,1.0,0.0,2
20050201,-138.63461,36447.32,0.9999898076057434,0.0017537653214348885,2
20050202,0.009094636,271.69986,1.0,0.0,2
20050203,-0.07284975,294.07065,0.04658025503158569,2.9703872181636655,3
20050204,-4.6052504,1472.4109,1.0,6.473755931273323e-05,2
20050205,-0.13786612,309.54697,0.2978825569152832,2.042510993395651,3
20050206,-0.2861324,342.10895,0.9991341233253479,0.13288073329677055,3
20050209,-1.1615127,570.6365,1.0,3.0517578125e-05,2
20050210,1.1795442,-6.988983,1.0,0.0,2
20050212,-0.038694955,284.65063,0.016779720783233643,2.109727392078009,4
20050214,-0.3027739,351.9861,0.991834282875061,0.30397306948197095,3
20050215,-0.44632515,389.0398,1.0,0.0,2
20050216,-0.26613107,341.6902,1.0,0.0,2
20050218,-0.4648948,386.21194,1.0,0.0,2
20050219,-0.03183083,281.34552,0.4198088049888611,0.3936343431911479,3
20050220,1.9076592,-226.90164,1.0,0.0,2
20050221,-0.0012660781,274.03458,1.0,0.0,2
20050222,-0.109729,302.40375,0.6873602867126465,1.2991534979990702,4
20050223,-10.076596,2898.5747,1.0,6.473755931273323e-05,2
20050224,-0.19465427,323.70486,0.9190989136695862,0.5637608278845994,3
20050225,-0.17982486,318.83606,0.8084267377853394,1.0285761298533886,3
20050227,-0.017698238,277.92902,0.21472293138504028,0.32007512158918405,3
20050228,-0.6598272,441.37772,1.0,0.0,2
20050301,0.0011680359,273.36926,1.0,0.0,2
20050303,0.009541088,272.9521,0.002548515796661377,1.7064469863029375,4
20050304,35.52778,-8970.285,0.9999985694885254,0.0007173253951137182,2
20050305,-0.6364647,439.22223,1.0,0.0,2
20050306,-5.3393593,1656.03,1.0,2.1579186437577746e-05,2
20050307,0.00046758525,273.4997,0.9999540448188782,3.0517578125e-05,2
20050309,-0.1787531,320.95224,0.9961384534835815,0.12294150185095726,3
20050310,-0.1174734,304.09006,0.6530461311340332,1.3948329310714962,5
20050312,-0.027559979,280.22095,1.0,3.0517578125e-05,2
20050313,-0.03216809,281.43304,1.0,0.0,2
20050314,0.00053737516,273.45953,0.9999693036079407,3.0517578125e-05,2
20050315,-0.17891712,320.04416,0.383047878742218,2.312706706113466,3
20050316,0.054587405,260.40182,0.23462289571762085,1.0091850338206012,3
20050317,0.05648091,262.22882,0.026344597339630127,3.3719270633217038,4
20050319,1.8516495,-176.7974,1.0,2.1579186437577746e-05,2
20050320,0.3029854,194.74791,1.0,2.1579186437577746e-05,2
20050321,-1.0564152,549.7217,1.0,0.0,2
20050323,-0.2546757,346.74997,1.0,0.0,2
20050325,1.892661,-203.22385,1.0,0.0,2
20050328,-0.16532533,324.2725,0.9950101375579834,0.11036828851113521,3
20050329,-0.21858048,338.14758,0.7637314200401306,0.6050325606782,3
20050402,-0.067981094,290.01862,1.0,0.0,2
20050403,12.435703,-3014.8215,1.0,0.00036748030330787035,2
20050404,-0.6551716,449.43652,1.0,2.1579186437577746e-05,2
20050405,-0.88490206,503.10837,1.0,0.0,2
20050408,-0.18971598,330.31155,0.9945441484451294,0.1583154832718515,3
20050409,0.34581387,188.77481,0.28648924827575684,3.0082102326825684,3
20050410,5.5646787,-1130.1586,1.0,4.315837287515549e-05,2
20050411,-0.11435006,308.00433,1.0,0.0,2
20050412,-0.37665716,377.99615,0.9434435963630676,0.4620775090868994,3
