latitude,longitude,pass_type,brightness_temp_19v
35.25,-13.0,ascending,189.76999
35.25,-12.75,ascending,189.68
35.25,-12.5,ascending,190.29
35.25,-12.25,ascending,190.61
35.25,-12.0,ascending,190.65001
35.25,-11.75,ascending,190.715
35.25,-11.5,ascending,191.33
35.25,-11.25,ascending,192.23
35.25,-11.0,ascending,194.09
35.25,-10.75,ascending,195.405
35.25,-10.5,ascending,196.87334
35.25,-10.25,ascending,197.92
35.25,-10.0,ascending,198.96999
35.25,-9.75,ascending,200.22
35.25,-9.5,ascending,201.34999
35.25,-9.25,ascending,201.75
35.25,-9.0,ascending,202.37334
35.25,-8.75,ascending,205.44
35.25,-8.5,ascending,208.94331
35.25,-8.25,ascending,210.68
35.25,-8.0,ascending,210.14998
35.25,-7.75,ascending,204.595
35.25,-7.5,ascending,199.96333
35.25,-7.25,ascending,199.29999
35.25,-7.0,ascending,199.06
35.25,-6.75,ascending,198.89
35.25,-6.5,ascending,200.905
35.25,-6.25,ascending,219.53333
35.25,-6.0,ascending,255.41998
35.25,-5.75,ascending,275.67334
35.25,-5.5,ascending,274.93332
35.25,-5.25,ascending,246.04333
35.25,-5.0,ascending,227.99333
35.25,-4.75,ascending,214.81
35.25,-4.5,ascending,208.25801
35.25,-4.25,ascending,207.04999
35.25,-4.0,ascending,206.94199
35.25,-3.75,ascending,209.465
35.25,-3.5,ascending,208.87856
35.25,-3.25,ascending,210.88167
35.25,-3.0,ascending,214.048
35.25,4.0,ascending,297.44855
35.25,4.25,ascending,297.4883
35.25,4.5,ascending,298.358
35.25,4.75,ascending,298.40833
35.25,5.0,ascending,298.288
35.25,5.25,ascending,297.155
35.25,5.5,ascending,295.5275
35.25,5.75,ascending,293.76248
35.25,6.0,ascending,292.70502
35.25,6.25,ascending,292.94998
35.25,6.5,ascending,293.62
35.25,6.75,ascending,294.19666
35.25,7.0,ascending,294.37
35.25,7.25,ascending,294.27
35.25,7.5,ascending,294.04666
35.25,7.75,ascending,294.31332
35.25,8.0,ascending,294.72333
35.25,8.25,ascending,295.04333
35.25,8.5,ascending,294.93997
35.25,8.75,ascending,294.69
35.25,9.0,ascending,294.74
35.25,9.25,ascending,296.29333
35.25,9.5,ascending,297.91498
35.25,9.75,ascending,298.58334
35.25,10.0,ascending,299.565
35.25,10.25,ascending,299.58334
35.25,10.5,ascending,295.97333
35.25,10.75,ascending,288.985
35.25,11.0,ascending,261.64
35.25,11.25,ascending,219.995
35.25,11.5,ascending,197.98999
35.25,11.75,ascending,193.37
