latitude,longitude,pass_type,brightness_temp_19v
35.25,-13.0,descending,200.12
35.25,-12.75,descending,199.785
35.25,-12.5,descending,199.65666
35.25,-12.25,descending,199.22
35.25,-12.0,descending,198.245
35.25,-11.75,descending,197.77998
35.25,-11.5,descending,197.51332
35.25,-11.25,descending,197.36499
35.25,-11.0,descending,197.35333
35.25,-10.75,descending,197.415
35.25,-10.5,descending,197.44499
35.25,-10.25,descending,197.37
35.25,-10.0,descending,197.28333
35.25,-9.75,descending,197.10667
35.25,-9.5,descending,197.25
35.25,-9.25,descending,197.41667
35.25,-9.0,descending,197.00249
35.25,-8.75,descending,196.04
35.25,-8.5,descending,195.135
35.25,-8.25,descending,194.49
35.25,-8.0,descending,194.166
35.25,-7.75,descending,194.10599
35.25,-7.5,descending,194.01799
35.25,-7.25,descending,193.88249
35.25,-7.0,descending,193.71143
35.25,-0.25,descending,280.01
35.25,0.0,descending,280.21573
35.25,0.25,descending,280.8
35.25,0.5,descending,280.38
35.25,0.75,descending,279.835
35.25,1.0,descending,279.32
35.25,1.25,descending,278.9275
35.25,1.5,descending,278.60498
35.25,1.75,descending,278.16498
35.25,2.0,descending,277.8633
35.25,2.25,descending,277.9
35.25,2.5,descending,278.29333
35.25,2.75,descending,278.44333
35.25,3.0,descending,277.7375
35.25,3.25,descending,275.22998
35.25,3.5,descending,272.65
35.25,3.75,descending,272.37668
35.25,4.0,descending,273.495
35.25,4.25,descending,273.085
35.25,4.5,descending,272.12668
35.25,4.75,descending,273.46335
35.25,5.0,descending,276.63666
35.25,5.25,descending,279.24332
35.25,5.5,descending,279.05
35.25,5.75,descending,278.235
35.25,6.0,descending,277.755
35.25,6.25,descending,277.15665
35.25,6.5,descending,276.885
35.25,6.75,descending,275.70334
35.25,7.0,descending,271.76666
35.25,7.25,descending,0.0
35.25,7.5,descending,178.82666
35.25,7.75,descending,269.15
35.25,8.0,descending,270.48666
35.25,8.25,descending,273.705
35.25,8.5,descending,278.68
35.25,8.75,descending,282.63998
35.25,9.0,descending,284.12997
35.25,9.25,descending,286.485
35.25,9.5,descending,287.83
35.25,9.75,descending,288.56
35.25,10.0,descending,289.33667
35.25,10.25,descending,288.215
35.25,10.5,descending,285.08334
35.25,10.75,descending,272.695
35.25,11.0,descending,238.27998
35.25,11.25,descending,206.73999
35.25,11.5,descending,200.51
35.25,11.75,descending,199.90999
35.25,12.0,descending,199.805
35.25,12.25,descending,200.20332
35.25,12.5,descending,200.34666
35.25,12.75,descending,200.14499
35.25,13.0,descending,199.97998
35.25,13.25,descending,200.17332
35.25,13.5,descending,200.30666
35.25,13.75,descending,200.22333
35.25,14.0,descending,100.05
35.25,14.25,descending,66.65667
35.25,14.5,descending,200.08
35.25,14.75,descending,199.87334
35.25,15.0,descending,199.39749
35.25,15.25,descending,198.72002
35.25,15.5,descending,198.03749
35.25,15.75,descending,197.2925
35.25,16.0,descending,196.78
35.25,16.25,descending,196.5275
35.25,16.5,descending,196.35
35.25,16.75,descending,196.06999
35.25,17.0,descending,195.73
35.25,17.25,descending,195.566
35.25,17.5,descending,195.60126
35.25,17.75,descending,195.732
35.5,-13.0,descending,200.17
35.5,-12.75,descending,200.01428
35.5,-12.5,descending,199.9475
35.5,-12.25,descending,199.35625
35.5,-12.0,descending,198.48444
35.5,-11.75,descending,198.02856
35.5,-11.5,descending,197.82889
35.5,-11.25,descending,197.88875
35.5,-11.0,descending,197.89099
35.5,-10.75,descending,197.77856
35.5,-10.5,descending,197.58112
35.5,-10.25,descending,197.29999
35.5,-10.0,descending,197.075
35.5,-9.75,descending,196.94778
35.5,-9.5,descending,197.065
35.5,-9.25,descending,197.157
35.5,-9.0,descending,196.73749
35.5,-8.75,descending,195.96089
35.5,-8.5,descending,195.15666
35.5,-8.25,descending,194.45384
35.5,-8.0,descending,194.03769
35.5,-7.75,descending,193.89
35.5,-7.5,descending,193.82588
35.5,-7.25,descending,193.74449
35.5,-7.0,descending,193.55214
35.5,-6.75,descending,193.4
35.5,-0.25,descending,279.22998
35.5,0.0,descending,264.40414
35.5,0.25,descending,280.55057
35.5,0.5,descending,280.69562
35.5,0.75,descending,280.03308
35.5,1.0,descending,279.33768
35.5,1.25,descending,278.65332
35.5,1.5,descending,278.17545
35.5,1.75,descending,277.801
35.5,2.0,descending,277.619
35.5,2.25,descending,277.871
35.5,2.5,descending,278.409
35.5,2.75,descending,278.93124
35.5,3.0,descending,278.87625
35.5,3.25,descending,277.85443
35.5,3.5,descending,275.41223
35.5,3.75,descending,272.47998
35.5,4.0,descending,272.25
35.5,4.25,descending,271.6925
35.5,4.5,descending,269.49
35.5,4.75,descending,269.93625
35.5,5.0,descending,273.27625
35.5,5.25,descending,277.21124
35.5,5.5,descending,278.62375
35.5,5.75,descending,277.98572
35.5,6.0,descending,277.695
35.5,6.25,descending,277.48856
35.5,6.5,descending,197.69286
35.5,6.75,descending,157.09427
35.5,7.0,descending,169.09625
35.5,7.25,descending,267.58167
35.5,7.5,descending,266.9883
35.5,7.75,descending,267.84778
35.5,8.0,descending,269.83856
35.5,8.25,descending,272.61856
35.5,8.5,descending,277.80426
35.5,8.75,descending,281.38858
35.5,9.0,descending,283.51572
35.5,9.25,descending,285.61856
35.5,9.5,descending,287.07166
35.5,9.75,descending,287.8625
35.5,10.0,descending,288.52875
35.5,10.25,descending,286.74857
