station,latitude,longitude,brightness_temp_37v,temperature
AMF_US-Aud_BASE-BADM_4-1,31.59,-110.51,,298.16
AMF_US-Bkg_BASE-BADM_4-1,44.35,-96.84,,288.795
AMF_US-Blk_BASE-BADM_2-1,44.16,-103.65,,277.47
AMF_US-Bo2_BASE-BADM_2-1,40.01,-88.29,,290.685
AMF_US-Dk3_BASE-BADM_4-5,35.98,-79.09,,294.182
AMF_US-FPe_BASE-BADM_2-1,48.31,-105.1,,279.97
AMF_US-MMS_BASE-BADM_25-5,39.32,-86.41,,291.23
AMF_US-MOz_BASE-BADM_11-5,38.7,-92.2,,290.62
FLX_FR-LBr_FLUXNET2015_FULLSET_1996-2008_1-4,44.72,-0.77,257.0579215625,288.29
FLX_NL-Loo_FLUXNET2015_FULLSET_1996-2014_1-4,52.17,5.74,264.5375503125,287.085
