lat,lon,temp_K_mean
35.5,-12.75,274.59515522600964
35.5,-12.5,274.5918286524915
35.5,-12.25,274.59044173675227
35.5,-12.0,274.57752029304544
35.5,-11.75,274.5568422128464
35.5,-11.5,274.52970220965904
35.5,-11.25,274.52133653750036
35.5,-11.0,274.5159181578834
35.5,-10.75,274.5066081990892
35.5,-10.5,274.49709178686487
35.5,-10.25,274.4835426210572
35.5,-10.0,274.46907777410365
35.5,-9.75,274.45851901390864
35.5,-9.5,274.4305711644779
35.5,-9.25,274.4133076507486
35.5,-9.0,274.39350681060324
35.5,-4.75,277.0435274674774
35.5,-4.5,276.1967028977484
35.5,-4.25,276.020802667086
35.5,-4.0,276.0970760072458
35.5,-3.75,276.1766895610249
35.5,-3.5,276.1903523741416
35.5,-3.25,276.3125917801885
35.5,-3.0,276.2901029292847
35.5,-2.75,275.879922849366
35.5,-2.5,275.5296649634956
35.5,-2.25,275.4183034573206
35.5,-2.0,275.5015125970874
35.5,-1.75,276.018948580481
35.5,-1.5,277.13824778295935
35.5,-1.25,279.09975396452995
35.5,-1.0,281.0885704818626
35.5,-0.75,282.2918680646406
35.5,-0.5,283.07648958664697
35.5,-0.25,283.6558394865408
35.5,0.0,281.564370373947
35.5,0.25,284.43005152829807
35.5,0.5,284.6840968761898
35.5,0.75,284.8982812543012
35.5,1.0,284.95541101884874
35.5,1.25,284.9527812056909
35.5,1.5,284.80272016460407
35.5,1.75,284.71303031698574
35.5,2.0,284.63515214733076
35.5,2.25,284.74800769812384
35.5,2.5,284.8426093196231
35.5,2.75,285.00457399873795
35.5,3.0,285.022303456227
35.5,3.25,284.98131746800533
35.5,3.5,284.7759311122835
35.5,3.75,284.75090178778265
35.5,4.0,284.7571600901959
35.5,4.25,284.8201425216525
35.5,4.5,284.6484177834271
35.5,4.75,284.466498722356
35.5,5.0,284.4195511684604
35.5,5.25,284.5129729306181
35.5,5.5,284.40087189587604
35.5,5.75,284.30615512085996
35.5,6.0,284.2358230150111
35.5,6.25,284.2228278539146
35.5,6.5,284.1660055881376
35.5,6.75,284.15366156401655
35.5,7.0,284.05178467184015
35.5,7.25,284.1043134964387
35.5,7.5,284.1615668312909
35.5,7.75,284.1750231136462
35.5,8.0,284.2266692909924
35.5,8.25,284.3037987819863
35.5,8.5,284.44048944074177
35.5,8.75,284.52285441297687
35.5,9.0,284.61466249616666
35.5,9.25,284.72689511560833
35.5,9.5,284.884242630501
35.5,9.75,284.9675863806428
35.5,10.0,285.0588419728907
35.5,10.25,284.77681406429093
35.5,10.5,284.125339544481
35.5,10.75,282.58026462416484
35.5,11.0,279.6932283003513
35.5,11.25,276.58590446553285
35.5,11.5,275.1021480330549
35.5,11.75,274.7152968540628
35.5,12.0,274.6475059799852
35.5,12.25,274.6658601969198
35.5,12.5,274.69293975542774
35.5,12.75,274.6728025296644
35.5,13.0,274.6500746275154
35.5,13.25,274.64401760308795
35.5,13.5,274.649262617363
35.5,13.75,274.65259560993434
35.5,14.0,274.69468315105854
35.5,14.25,274.7773789400342
35.5,14.5,274.8066155415247
35.5,14.75,274.7400903876211
35.5,15.0,274.6810200447888
35.5,15.25,274.6558303731642
35.5,15.5,274.64613192238625
35.5,15.75,274.6339781992038
35.5,22.25,274.65015778599604
35.5,22.5,274.63999313738265
35.5,22.75,274.634100421471
35.5,23.0,274.68700400797775
35.5,23.25,275.0233940737029
35.5,23.5,276.1813055124124
35.5,23.75,277.58464748486114
35.5,24.0,277.9429469236468
35.5,24.25,277.5141956427288
35.5,24.5,277.2154864972007
35.5,24.75,277.32473408609644
