station,name,lat,lon
AMF_US-MOz_BASE-BADM_11-5,Oark Missouri (US),38.7,-92.2
AMF_US-MMS_BASE-BADM_25-5,Morgan Monroe Indiana (US),39.32,-86.41
FLX_IT-Col_FLUXNET2015_FULLSET_1996-2014_1-4,Collelongo beech (IT),41.85,13.59
FLX_DE-Hai_FLUXNET2015_FULLSET_2000-2012_1-4,Hainich (DE),51.08,10.45
FLX_NL-Loo_FLUXNET2015_FULLSET_1996-2014_1-4,Loobos (NL),52.17,5.74
FLX_FR-LBr_FLUXNET2015_FULLSET_1996-2008_1-4,Le Brai (NL),44.72,-0.77
AMF_US-Blk_BASE-BADM_2-1,Black Hill South Dakota (US),44.16,-103.65
AMF_US-Aud_BASE-BADM_4-1,Arizona (US),31.59,-110.51
AMF_US-FPe_BASE-BADM_2-1,Fort Peck Montana (US),48.31,-105.1
AMF_US-Bkg_BASE-BADM_4-1,Brookings Illinois (US),44.35,-96.84
AMF_US-Bo1_BASE-BADM_2-1,Bondville Illinois (US),40.01,-88.29
AMF_US-Bo2_BASE-BADM_2-1,Bonville comp. Illinois (US),40.01,-88.29
FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2014_1-4,Gebesse (DE),51.1,10.91
AMF_US-Dk3_BASE-BADM_4-5, North Carolina (US), 35.98, -79.09
