latitude,longitude,land_cover_class
-89.875,-179.875,15
-89.875,-179.625,15
-89.875,-179.375,15
-89.875,-179.125,15
-89.875,-178.875,15
-89.875,-178.625,15
-89.875,-178.375,15
-89.875,-178.125,15
-89.875,-177.875,15
-89.875,-177.625,15
-89.875,-177.375,15
-89.875,-177.125,15
-89.875,-176.875,15
-89.875,-176.625,15
-89.875,-176.375,15
-89.875,-176.125,15
-89.875,-175.875,15
-89.875,-175.625,15
-89.875,-175.375,15
-89.875,-175.125,15
-89.875,-174.875,15
-89.875,-174.625,15
-89.875,-174.375,15
-89.875,-174.125,15
-89.875,-173.875,15
-89.875,-173.625,15
-89.875,-173.375,15
-89.875,-173.125,15
-89.875,-172.875,15
-89.875,-172.625,15
-89.875,-172.375,15
-89.875,-172.125,15
-89.875,-171.875,15
-89.875,-171.625,15
-89.875,-171.375,15
-89.875,-171.125,15
-89.875,-170.875,15
-89.875,-170.625,15
-89.875,-170.375,15
-89.875,-170.125,15
-89.875,-169.875,15
-89.875,-169.625,15
-89.875,-169.375,15
-89.875,-169.125,15
-89.875,-168.875,15
-89.875,-168.625,15
-89.875,-168.375,15
-89.875,-168.125,15
-89.875,-167.875,15
-89.875,-167.625,15
-89.875,-167.375,15
-89.875,-167.125,15
-89.875,-166.875,15
-89.875,-166.625,15
-89.875,-166.375,15
-89.875,-166.125,15
-89.875,-165.875,15
-89.875,-165.625,15
-89.875,-165.375,15
-89.875,-165.125,15
-89.875,-164.875,15
-89.875,-164.625,15
-89.875,-164.375,15
-89.875,-164.125,15
-89.875,-163.875,15
-89.875,-163.625,15
-89.875,-163.375,15
-89.875,-163.125,15
-89.875,-162.875,15
-89.875,-162.625,15
-89.875,-162.375,15
-89.875,-162.125,15
-89.875,-161.875,15
-89.875,-161.625,15
-89.875,-161.375,15
-89.875,-161.125,15
-89.875,-160.875,15
-89.875,-160.625,15
-89.875,-160.375,15
-89.875,-160.125,15
-89.875,-159.875,15
-89.875,-159.625,15
-89.875,-159.375,15
-89.875,-159.125,15
-89.875,-158.875,15
-89.875,-158.625,15
-89.875,-158.375,15
-89.875,-158.125,15
-89.875,-157.875,15
-89.875,-157.625,15
-89.875,-157.375,15
-89.875,-157.125,15
-89.875,-156.875,15
-89.875,-156.625,15
-89.875,-156.375,15
-89.875,-156.125,15
-89.875,-155.875,15
-89.875,-155.625,15
-89.875,-155.375,15
-89.875,-155.125,15
-89.875,-154.875,15
-89.875,-154.625,15
-89.875,-154.375,15
-89.875,-154.125,15
-89.875,-153.875,15
-89.875,-153.625,15
-89.875,-153.375,15
-89.875,-153.125,15
-89.875,-152.875,15
-89.875,-152.625,15
-89.875,-152.375,15
-89.875,-152.125,15
-89.875,-151.875,15
-89.875,-151.625,15
-89.875,-151.375,15
-89.875,-151.125,15
-89.875,-150.875,15
-89.875,-150.625,15
-89.875,-150.375,15
-89.875,-150.125,15
-89.875,-149.875,15
-89.875,-149.625,15
-89.875,-149.375,15
-89.875,-149.125,15
-89.875,-148.875,15
-89.875,-148.625,15
-89.875,-148.375,15
-89.875,-148.125,15
-89.875,-147.875,15
-89.875,-147.625,15
-89.875,-147.375,15
-89.875,-147.125,15
