id,igbp_class_fr,igbp_class_en
0,'Forêt sempervirente de conifères','Evergreen Needleleaf Forest'
1,'Forêt sempervirente de feuillus','Evergreen Broadleaf Forest'
2,'Forêt décidue de conifères','Deciduous Needleleaf Forest'
3,'Forêt décidue de feuillus','Deciduous Broadleaf Forest'
4,'Forêt mixte','Mixed Forests'
5,'Broussailles denses','Closed Shrublands'
6,'Broussailles ouvertes','Open Shrublands'
7,'Savane boisée','Woody Savannas'
8,'Savane','Savannas'
9,'Prairies','Grasslands'
10,'Zones humides permanentes','Permanent Wetlands'
11,'Terres cultivées','Croplands'
12,'Zones urbaines','Urban and Built-Up'
13,'Mosaïque cultures/végétation','Cropland/Natural Vegetation Mosaic'
14,'Neige et glace','Snow and Ice'
15,'Zone nue ou peu végétalisée','Barren or Sparsely Vegetated'
16,"Plans d’eau",'Water Bodies'
17,'Non classé','Unclassified'
