lat,lon,LST_Celsius_mean
35.5,-6.0,27.455067726283346
35.5,-5.75,26.256537678505538
35.5,-5.5,24.801844400672167
35.5,-5.25,24.21261253864816
35.5,-5.0,25.690635482462028
35.5,-3.0,21.862371914240498
35.5,-1.25,25.980617418855616
35.5,-1.0,28.53989875193929
35.5,-0.75,28.268990340222786
35.5,-0.5,28.24790384004916
35.5,-0.25,28.369810098807022
35.5,-0.0,27.66503160936918
35.5,0.25,28.512437402348894
35.5,0.5,29.569854973597955
35.5,0.75,30.610248242600505
35.5,1.0,30.961348355526695
35.5,1.25,30.811973219406354
35.5,1.5,30.85525756110519
35.5,1.75,30.59545955775735
35.5,2.0,29.0416861932365
35.5,2.25,28.6677808452622
35.5,2.5,28.787743549478364
35.5,2.75,29.018845794453057
35.5,3.0,29.2622914839248
35.5,3.25,29.11930589756838
35.5,3.5,28.961146711461765
35.5,3.75,28.64262478698174
35.5,4.0,28.45549174231286
35.5,4.25,30.392197478297305
35.5,6.0,24.004728545921182
35.5,6.25,23.65403006968006
35.5,7.0,25.472446404539312
35.5,7.25,26.423250460686802
35.5,8.0,26.311219023007595
35.5,8.25,25.522222378271238
35.5,8.5,25.702889440310173
35.5,9.0,24.84025339004802
35.5,9.25,26.307311411612602
35.5,9.5,27.36054047547765
35.5,9.75,27.81436600643883
35.5,10.0,29.394465873592708
35.5,10.25,29.555500391564067
35.5,10.5,28.020670837043212
35.5,10.75,28.88824354318541
35.5,11.0,27.30895483174038
35.5,23.5,21.43001535515174
35.5,23.75,22.29707803477487
35.5,24.75,24.003256435723642
35.5,25.25,22.97830953397761
35.5,26.75,21.914898326898424
35.5,27.0,21.59078910636157
35.5,27.25,23.432869490341602
35.5,33.75,24.897425445156273
35.5,34.0,26.90945497797304
35.5,34.25,26.47948170718081
35.5,35.75,25.134568251274175
35.5,36.0,24.201036552170137
35.5,36.25,24.58564687918357
35.5,36.5,31.153774720880563
35.5,36.75,32.4688196095496
35.75,-6.0,24.93418812695012
35.75,-5.75,26.13859246330395
35.75,-5.5,23.608384306420817
35.75,-5.25,24.339412180874206
35.75,-1.0,24.028095864429247
35.75,-0.75,24.90117779774431
35.75,-0.5,25.763337696837027
35.75,-0.25,27.784386306338206
35.75,-0.0,27.240560645442315
35.75,0.25,28.804173046289407
35.75,0.5,29.10397288626234
35.75,0.75,29.734658862203958
35.75,1.0,31.081406286009155
35.75,1.25,29.03021540426232
35.75,1.5,29.067518273013604
35.75,1.75,30.196421244542876
35.75,2.0,28.978467346433376
35.75,2.25,29.18851033619336
35.75,2.5,29.586095694186838
35.75,2.75,30.01718799760124
35.75,3.0,29.810378411891236
35.75,3.25,28.555505071221035
35.75,3.5,28.349086193531093
35.75,3.75,29.032920149813492
35.75,4.0,29.09018608103844
35.75,6.25,26.81752085191289
35.75,6.5,26.0749712712049
35.75,7.0,26.06476661445106
35.75,7.25,27.054902110598164
35.75,8.5,27.225923774245928
35.75,8.75,26.336993671507287
35.75,9.0,25.087842184462488
35.75,9.25,24.268504928721143
35.75,9.5,25.35292658956871
35.75,9.75,26.53768653704384
35.75,10.0,29.071842402348466
35.75,10.25,29.39663958684929
35.75,10.5,27.943960289379675
35.75,10.75,27.080424431249924
35.75,11.0,25.709431903639484
35.75,12.75,24.206490878938723
35.75,14.25,23.986874293785206
35.75,14.5,25.71910356204694
35.75,23.25,22.722914794577207
35.75,23.75,21.71777454740976
35.75,27.0,20.814537549407362
35.75,27.25,20.592028055560718
35.75,35.75,24.21394693367705
35.75,36.25,24.66380162259037
35.75,36.5,29.173861464735978
35.75,36.75,31.75286258873774
35.75,37.0,32.194885401402246
35.75,37.25,33.4395184776447
35.75,37.5,33.630177703220625
35.75,37.75,34.33322397884558
36.0,-5.75,24.464212940158745
36.0,-5.5,22.155680946346365
36.0,-5.25,21.18506759013769
36.0,-0.5,20.449731249678848
36.0,-0.25,22.994982761622396
36.0,-0.0,24.104515117216465
36.0,0.25,26.432133292394326
36.0,0.5,28.691824766932314
36.0,0.75,29.20747051597982
36.0,1.0,28.54801959328597
36.0,1.25,28.977520998753334
36.0,1.5,28.771014290502876
36.0,1.75,28.072381092472938
36.0,2.0,27.68500782142786
36.0,2.25,26.73871948975369
36.0,2.5,26.31643043254553
36.0,2.75,26.92053121818458
36.0,3.0,28.329559099925177
36.0,3.25,27.494098394069965
36.0,3.5,27.875871849463635
36.0,3.75,28.36309827607971
36.0,6.5,26.209662521822906
36.0,7.25,27.02126108774553
36.0,7.5,26.668766614713377
36.0,8.5,27.672947886349675
36.0,8.75,26.623294153568054
36.0,9.0,25.261546126534654
36.0,9.25,25.56215823662626
36.0,9.5,24.335877291485588
36.0,9.75,25.465504302315992
36.0,10.0,27.985076434324753
36.0,10.25,28.575643272022603
36.0,10.5,27.71028189628629
36.0,14.25,23.696664877975195
36.0,14.5,25.060735896731217
36.0,23.25,22.294085440005347
36.0,26.5,21.031666666666695
36.0,27.25,20.625328731492573
36.0,27.75,24.893149657914876
36.0,28.0,26.764489655201544
36.0,37.25,32.15373935332099
36.0,37.75,29.58684166464576
36.0,38.0,30.657483804324613
36.25,-6.25,23.834466269568452
36.25,-6.0,26.029185900078176
36.25,-5.75,24.787943117805412
36.25,-5.5,22.7019527252923
36.25,-5.25,24.64689121978074
36.25,0.25,24.33084705801832
36.25,0.5,25.91923140540905
36.25,0.75,26.112391394505266
36.25,1.0,27.578786654749308
36.25,1.25,28.86833906368912
36.25,1.5,28.717814014609758
36.25,1.75,28.77772716915422
36.25,2.0,27.996644796254486
36.25,2.25,27.168019088326446
36.25,2.5,27.247869427259502
36.25,2.75,25.61603224803298
36.25,3.0,25.734215147023633
36.25,3.25,28.21291192918426
36.25,3.5,27.727335385327308
36.25,6.0,26.80578469976615
36.25,6.25,26.15722402713982
36.25,6.5,26.28845015942767
36.25,6.75,26.54079090951103
36.25,8.5,25.156798928717535
36.25,8.75,25.401797155917734
36.25,9.0,25.878945322235154
36.25,9.25,26.064701589280617
36.25,9.5,25.761856159034096
36.25,9.75,24.959550523824134
36.25,10.0,25.51520480581769
36.25,10.25,26.25952317897861
36.25,10.5,27.007211049079842
36.25,23.0,22.1142222362314
36.25,25.5,27.44171279946505
36.25,25.75,24.266283330631666
36.25,26.75,22.254385077295524
36.25,27.5,22.67091409183763
36.25,27.75,22.972991611624423
36.25,28.0,25.11450163840027
36.25,28.25,27.07895047247183
36.25,29.25,26.172066277394492
36.25,29.5,21.664285979485157
36.25,29.75,24.11993873661487
36.25,30.0,22.455885717263584
36.25,30.25,25.174415539251754
36.25,30.5,23.463492411338905
36.25,32.25,26.001502258446237
36.25,32.5,21.53297813527314
36.25,33.75,24.523635595106157
36.5,-6.25,24.44064866365477
36.5,-6.0,27.523958883963473
36.5,-5.75,26.032500855663216
36.5,-5.5,22.220597118275634
36.5,-5.25,23.254472258694364
36.5,-5.0,22.909301504583198
36.5,-4.75,24.665058983147333
36.5,-4.5,24.5889528524865
36.5,1.0,23.015900079773758
36.5,1.25,25.232444861519696
36.5,1.5,24.069066902615532
36.5,1.75,23.598478649392973
36.5,2.0,23.09883933001936
36.5,2.25,22.92306286623102
36.5,2.5,24.843885978506307
36.5,2.75,24.208846918129666
36.5,3.0,23.51960071597847
36.5,3.25,24.47308004980971
36.5,3.5,25.21404197489761
36.5,4.0,24.348247734783627
36.5,6.5,26.032878184477852
36.5,6.75,24.519788251656166
36.5,7.0,24.745286679077253
36.5,7.25,24.944933090362383
36.5,8.75,26.57596934487532
36.5,9.0,26.174740879588057
36.5,9.25,24.76478312762947
36.5,9.5,25.484951997586734
36.5,9.75,26.69029793214122
36.5,10.0,26.298692321721774
36.5,10.25,25.106053519953548
36.5,10.5,24.773925449513
36.5,10.75,24.93875811978711
36.5,11.0,26.806231563421875
36.5,22.25,22.936520482461503
36.5,22.5,22.443233412589677
36.5,23.0,23.30577853665028
36.5,23.25,22.169279504731662
36.5,25.5,26.48040115575833
36.5,25.75,22.82909992713826
36.5,26.25,23.732162269618073
36.5,26.5,23.02887531959277
36.5,27.25,23.817238134811817
36.5,27.5,24.576897262536704
36.5,27.75,23.14952054964556
36.5,28.0,23.739385298435366
36.5,28.25,25.60227824651173
36.5,28.75,24.70975522399408
36.5,29.0,23.26928660957327
36.5,29.25,24.872713375566207
36.5,29.5,19.289958811426857
36.5,29.75,19.137166555573003
36.5,30.0,17.36043854561848
36.5,30.25,20.255684650966202
36.5,30.5,20.87580129540669
36.5,31.75,26.178313182591182
36.5,32.0,24.3654433940452
36.5,32.25,22.566115802300203
36.5,32.5,17.012587001537156
36.5,32.75,19.417048176641458
36.5,33.0,23.459758942532403
36.5,33.25,25.09754949419596
36.5,33.5,27.568160925858706
36.5,36.0,23.974276205278613
36.5,36.25,24.768540242861206
36.75,-6.5,24.540091693690727
36.75,-6.25,28.372791876681333
36.75,-6.0,29.465672690971076
36.75,-5.75,27.476048972828835
36.75,-5.5,24.84731669178501
36.75,-5.25,24.3975889202473
36.75,-5.0,23.351477991561012
36.75,-4.75,26.49371802068714
36.75,-4.5,26.40499557084371
36.75,-4.25,26.315690688249788
36.75,-4.0,25.454820525045022
36.75,-3.75,23.05907964301548
36.75,-3.5,24.272548833259634
36.75,-3.25,25.741847817557414
36.75,-3.0,26.144444100969906
36.75,-2.75,25.173289531848127
36.75,-2.5,26.101026511695693
36.75,-2.25,27.58056372648548
36.75,-2.0,27.63697091135873
36.75,2.75,24.12230747438639
36.75,3.0,24.740039401917727
36.75,3.25,25.45183765744258
36.75,3.5,24.18767330198051
36.75,4.75,22.235521925927856
36.75,5.0,22.47053550302627
36.75,6.75,25.437823719344635
