lat,lon,LST_Kelvin_mean
35.5,-6.0,300.6050677262833
35.5,-5.75,299.4065376785055
35.5,-5.5,297.95184440067214
35.5,-5.25,297.36261253864814
35.5,-5.0,298.840635482462
35.5,-3.0,295.0123719142405
35.5,-1.25,299.1306174188556
35.5,-1.0,301.68989875193927
35.5,-0.75,301.41899034022276
35.5,-0.5,301.39790384004914
35.5,-0.25,301.519810098807
35.5,-0.0,300.81503160936916
35.5,0.25,301.66243740234887
35.5,0.5,302.71985497359793
35.5,0.75,303.7602482426005
35.5,1.0,304.1113483555267
35.5,1.25,303.96197321940633
35.5,1.5,304.00525756110517
35.5,1.75,303.74545955775733
35.5,2.0,302.1916861932365
35.5,2.25,301.8177808452622
35.5,2.5,301.93774354947834
35.5,2.75,302.16884579445303
35.5,3.0,302.4122914839248
35.5,3.25,302.26930589756836
35.5,3.5,302.11114671146174
35.5,3.75,301.7926247869817
35.5,4.0,301.60549174231284
35.5,4.25,303.5421974782973
35.5,6.0,297.15472854592116
35.5,6.25,296.80403006968004
35.5,7.0,298.6224464045393
35.5,7.25,299.5732504606868
35.5,8.0,299.4612190230076
35.5,8.25,298.6722223782712
35.5,8.5,298.85288944031015
35.5,9.0,297.990253390048
35.5,9.25,299.4573114116126
35.5,9.5,300.5105404754776
35.5,9.75,300.9643660064388
35.5,10.0,302.5444658735927
35.5,10.25,302.70550039156404
35.5,10.5,301.1706708370432
35.5,10.75,302.0382435431854
35.5,11.0,300.45895483174036
35.5,23.5,294.5800153551517
35.5,23.75,295.44707803477485
35.5,24.75,297.1532564357236
35.5,25.25,296.1283095339776
35.5,26.75,295.0648983268984
35.5,27.0,294.74078910636155
35.5,27.25,296.5828694903416
35.5,33.75,298.04742544515625
35.5,34.0,300.059454977973
35.5,34.25,299.6294817071808
35.5,35.75,298.28456825127415
35.5,36.0,297.3510365521701
35.5,36.25,297.73564687918355
35.5,36.5,304.30377472088054
35.5,36.75,305.6188196095496
35.75,-6.0,298.0841881269501
