TIMESTAMP_START;AMF_US-Aud_BASE-BADM_4-1;AMF_US-Bkg_BASE-BADM_4-1;AMF_US-Blk_BASE-BADM_2-1;AMF_US-Bo1_BASE-BADM_2-1;AMF_US-Bo2_BASE-BADM_2-1;AMF_US-Dk3_BASE-BADM_4-5;AMF_US-FPe_BASE-BADM_2-1;AMF_US-MMS_BASE-BADM_25-5;AMF_US-MOz_BASE-BADM_11-5;FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2014_1-4;FLX_DE-Hai_FLUXNET2015_FULLSET_2000-2012_1-4;FLX_FR-LBr_FLUXNET2015_FULLSET_1996-2008_1-4;FLX_IT-Col_FLUXNET2015_FULLSET_1996-2014_1-4;FLX_NL-Loo_FLUXNET2015_FULLSET_1996-2014_1-4
01/01/2005;2.803.225;271.09;2.680.325;274.03;261.15;28.121.124.999.999.900;2.666.975;280.22;281.820.125;27.736.499.999.999.900;275.485;282.455;27.401.325;278.782
02/01/2005;281.54;270.75;2.656.625;281.005;2.655.975;282.051;266.775;280.77;282.34;277.905;276.23;2.830.325;27.399.175;278.968
03/01/2005;2.812.625;;265.38;2.789.775;;2.826.195;266.39;283.32;281.266;274.595;27.480.499.999.999.900;281.755;27.397.799.999.999.900;2.789.425
04/01/2005;2.811.075;27.017.749.999.999.900;2.661.425;2.773.075;;28.306.924.999.999.900;2.666.525;283.89;2.798.055;277.085;275.61;27.999.249.999.999.900;27.396.725;2.790.925
05/01/2005;2.764.225;267.65;26.873.749.999.999.900;277.245;;28.379.524.999.999.900;265.45;281.14;27.846.085;276.44;2.754.775;2.817.975;27.395.925;279.215
06/01/2005;275.54;268.475;2.685.875;274.41;;28.418.375;264.87;278.02;2.767.506;2.765.625;275.705;282.4;273.955;2.792.215
07/01/2005;275.67;268.73;268.985;274.27;260.19;28.457.325;2.660.125;276.62;27.537.125;276.23;2.757.625;283.36;273.957;2.793.635
08/01/2005;2.780.175;269.28;269.035;2.742.925;;28.449.525;2.663.525;276.41;2.758.437;2.795.775;277.48;28.142.749.999.999.900;273.991;2.798.155
09/01/2005;2.797.625;2.701.225;27.086.249.999.999.900;2.743.325;2.606.475;2.849.585;266.765;276.41;27.614.435;2.744.975;276.235;282.79;27.400.025;279.612
10/01/2005;281.21;269.19;270.35;274.235;2.609.775;2.843.615;2.653.725;277.26;27.722.305;276.245;276.145;28.111.499.999.999.900;27.400.875;27.979.999.999.999.900
11/01/2005;2.816.425;2.694.475;27.011.499.999.999.900;275.525;;28.402.075;264.695;277.96;27.795.605;2.744.675;2.769.075;2.805.975;274.017;27.983.825
12/01/2005;281.765;2.709.975;271.45;2.787.525;264.11;2.838.895;264.715;28.154.999.999.999.900;278.234;2.769.825;27.723.749.999.999.900;280.895;27.402.425;28.005.425
13/01/2005;276.04;270.65;2.686.975;2.857.525;2.699.125;2.842.985;2.654.175;283.59;28.054.305;275.165;276.715;282.44;274.03;27.982.025
14/01/2005;277.475;2.684.325;266.92;2.749.075;;285.407;26.392.749.999.999.900;280.02;2.760.259;273.44;275.38;281.12;2.740.355;279.599
15/01/2005;276.85;267.785;2.671.625;274.42;;2.857.035;2.633.825;276.53;2.748.166;2.741.475;275.015;2.801.525;27.403.825;2.794.095
16/01/2005;277.475;2.677.025;266.27;274.25;;28.436.249.999.999.900;26.273.749.999.999.900;275.81;27.460.855;270.345;274.015;280.645;27.403.925;2.791.315
17/01/2005;278.36;2.674.525;270.09;27.330.249.999.999.900;;2.834.715;262.765;275.89;27.444.665;269.47;273.585;2.802.675;27.403.825;27.899.375
18/01/2005;279.295;26.855.499.999.999.900;270.765;2.726.925;;28.232.225;264.61;27.523.999.999.999.900;2.742.888;272.905;273.825;281.98;274.036;27.917.625
19/01/2005;27.942.999.999.999.900;2.723.275;273.045;2.721.975;;281.152;270.17;274.66;27.433.725;273.065;27.448.749.999.999.900;281.025;27.401.725;27.908.525
20/01/2005;279.975;271.26;273.795;272.85;259.775;28.035.125;2.691.025;274.97;2.746.056;2.740.375;274.37;2.830.175;274.011;27.903.175
21/01/2005;283.415;27.123.999.999.999.900;273.04;2.727.025;2.694.375;28.038.125;26.842.749.999.999.900;275.34;2.760.175;2.766.425;2.759.975;283.2;27.400.199.999.999.900;27.920.874.999.999.900
